Дата;Лист №;Поставка/Кооперация;Поставщик/Кооператор;Операция;Заказ №;Наименование изделия;Наименование ДСЕ;Кол;ВР;ИБ;Д;П

04.04.2019;463-2019;Кооперация;Электрорегион ООО;Полное изготовление;18-156;Резинометаллический буфер;Резинометаллический буфер;КМ 170.01.10.00.000 СБ;10;в работе;0;0;10

04.04.2019;462-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;15;в работе;0;0;15

04.04.2019;461-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;15;в работе;0;0;15

04.04.2019;460-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200-01 СБ;100;в работе;0;0;100

04.04.2019;459-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200 СБ;81;в работе;0;0;81

03.04.2019;458-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-009;Секция 1;Комплект защиты башмаков станины Хевикут;ЧР 0453.03.001;8;в работе;0;0;8
03.04.2019;458-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-009;Секция 2;Комплект защиты башмаков станины Хевикут;ЧР 0453.03.002;8;в работе;0;0;8

03.04.2019;457-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;28;в работе;0;0;28

03.04.2019;456-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;28;в работе;0;0;28

03.04.2019;455-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200-01 ;97;в работе;0;0;97

03.04.2019;454-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200 (кор.);79;в работе;0;0;79

03.04.2019;453-2019;Кооперация;Реал ООО;Закалка;18-060;Бандаж;Вагонетка ВГ-11;КМ 10.50.05.009;12;в работе;0;0;12

03.04.2019;452-2019;Кооперация;Реал ООО;Закалка;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002;6;в работе;0;0;6

02.04.2019;451-2019;Кооперация;СибМаш ООО;Закалка;18-217;Ось вертикальная;Вагонетка подвесная ВГП-3200-1,6-27;КТ-015.01.03;2;в работе;0;0;2

02.04.2019;450-2019;Кооперация;СибМаш ООО;Закалка;18-263;Балка;Вагонетка шахтная ВДР 5,3М;КМ 20.53.30.002;3;в работе;0;0;3

02.04.2019;449-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Щека;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.002;1;в работе;0;0;1
02.04.2019;449-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Щека;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.002-01;1;в работе;0;0;1
02.04.2019;449-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Ухо;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.004;1;в работе;0;0;1
02.04.2019;449-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Ухо;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.010;1;в работе;0;0;1
02.04.2019;449-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Плита опорная;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.001;1;в работе;0;0;1

02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Зажим;Оборудование для видеосъемки на большой высоте;ЧР 0650.00.001;2;в работе;0;0;2
02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Ручка;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.009;2;в работе;0;0;2
02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Основание;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.101;1;в работе;0;0;1
02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Бобышка;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.202;4;в работе;0;0;4
02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Основание;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.301;1;в работе;0;0;1
02.04.2019;448-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Опора;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.302;2;в работе;0;0;2

02.04.2019;447-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Серьга;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.006;2;в работе;0;0;2
02.04.2019;447-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Ребро;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.103;1;в работе;0;0;1
02.04.2019;447-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Ребро;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.103-01;1;в работе;0;0;1
02.04.2019;447-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Гнутик;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.201;1;в работе;0;0;1
02.04.2019;447-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;17-124-016;Косынка;Оборудование для видеосъемки на большой высоте;ЧР 0650.10.203;2;в работе;0;0;2

01.04.2019;446-2019;Кооперация;КрЭВРЗ ОАО;Закалка;15-093;Пружина 200кН;Пружина 200кН;ЧР 0118.200.000;1;в работе;0;0;1

01.04.2019;445-2019;Кооперация;ИП Костерина;Токарная;19-004;Корпус буксы;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.003;12;в работе;0;2;10

01.04.2019;444-2019;Кооперация;ИП Костерина;Полное изготовление;18-287;Ось ролика;Вагонетка специальная (Для транспортировки кислородных баллонов);КМ 100.06.02.221;40;в работе;0;3;37

01.04.2019;443-2019;Кооперация;ИП Костерина;Полное изготовление;18-287;Ролик;Вагонетка специальная (Для транспортировки кислородных баллонов);КМ 100.06.02.231;40;в работе;0;0;40

01.04.2019;442-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-004;Корпус буксы;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.003 отл;31;в работе;0;0;31

01.04.2019;441-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002;68;в работе;0;0;68

01.04.2019;440-2019;Кооперация;РемСервисГарант ООО;Долбёжная;18-254;Колесо рабочее;Колесо рабочее;ЧР 0585.00.000;1;в работе;0;0;1

01.04.2019;439-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003 желт.;26;в работе;0;1;25

01.04.2019;438-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003-01 зел.;16;в работе;0;1;15

